,name,location,about,tags,overallRating,overallRatingCnt
0,Gardens by the Bay,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore","An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.",Points of Interest &amp; Landmarks • Gardens,4.5,"59,556"
1,Singapore Botanic Gardens,"1 Cluny Road, Singapore 259 569 Singapore","This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.",Parks • Gardens,4.5,"19,829"
2,Singapore Zoo,"80 Mandai Lake Road, Singapore 729826 Singapore","Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!",Zoos,4.5,"22,376"
3,National Orchid Garden,"1 Cluny Rd Within the Singapore Botanic Gardens, Singapore 259569 Singapore",,Gardens,4.5,"13,830"
4,Cloud Forest,"18 Marina Gardens Drive, Singapore 018953 Singapore",,Points of Interest &amp; Landmarks • Parks • Gardens,4.5,"14,935"
5,Sands Skypark Observation Deck,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore","Located on the roof of Marina Bay Sands, the Sands SkyPark Observation Deck boasts scenic views of the panoramic vistas of Marina Bay and Singapore’s world-class cityscape.",Points of Interest &amp; Landmarks • Observation Decks &amp; Towers,4.5,"16,867"
6,Singapore Mass Rapid Transit  (SMRT),,,Public Transportation Systems,4.5,"24,074"
7,Singapore Flyer,"30 Raffles Avenue, Singapore 039803 Singapore","At 165 metres tall, Singapore Flyer is a masterpiece of urban architecture and engineering that showcases not only the mesmerizing cosmopolitan cityscape of the tropical Lion City, but even the surrounding islands of Indonesia and parts of Malaysia in all their glory. In addition to offering panoramic views of Singapore's cosmopolitan cityscape, guests can also indulge in a flute of champagne, or savour the iconic Singapore Sling whilst hosted in a special themed capsule. Diners seeking both privacy and luxury can opt for a multi-sensory treat unlike any other with our Premium Sky Dining Flight, complete with a four-course dinner and an in-flight host.",Points of Interest &amp; Landmarks • Observation Decks &amp; Towers,4.5,"17,339"
8,Jurong Bird Park,"2 Jurong Hill, Singapore 628925 Singapore","Fly in to Asia's largest bird paradise and feast your senses on over 3500 colourful birds across 400 species. Spanning over 20.2 Hectares of naturalistic habitats and giant walk-in aviaries, enjoy close interactions with the feathered residents at daily feeding sessions and be tickled by their show-stopping antics in exciting bird shows. Enjoy sumptuous Asian buffet lunch in the company of talented parrots and get wild and wet at the kids-friendly bird-themed playground.",Nature &amp; Wildlife Areas,4.5,"5,219"
9,Supertree Grove,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",,Points of Interest &amp; Landmarks • Observatories &amp; Planetariums,4.5,"5,978"
10,Jewel Changi Airport,"78 Airport Boulevard, Singapore 819666 Singapore","Jewel Changi Airport (Jewel) - Singapore’s brand new multi-dimensional lifestyle destination! Located right in the heart of Singapore Changi Airport, Jewel integrates one-of-a-kind play attractions and extensive landscaping with over 280 exciting shopping and dining concepts, a 130-room hotel and airport facilities for travellers.",Shopping Malls,4.5,"1,182"
11,Singapore Cable Car,"109 Mount Faber Road Faber Peak, Singapore 099203 Singapore","The breath-taking connection between Faber Peak Singapore and Sentosa Island Established since 1974, Singapore Cable Car is the nation's first and only cableway that links Faber Peak on mainland Singapore to the island resort of Sentosa, before flying you to the Merlion or the sandy beach at Siloso. Today, the cable car rides are enjoyed across a Cable Car Sky Network of more than 100 cabins spanning almost 5 kilometres on the Mount Faber Line and the Sentosa Line. A 'joyride' across the Cable Car Sky Network offers a 360-degree aerial and visual treat of the entire Sentosa-HarbourFront skyline and the resort island. The scenery transforms as the cabins soar above the forest, through a skyscraper, over the harbour and travel across the jungle, sand and sea. Our passionate service ambassadors are on hand to create happy moments for all cable car joyriders. Singapore Cable Car Opening Hours: From 8.45am to 10pm (Last boarding: 9.30pm)",Trams • Lookouts • Scenic Walking Areas,4.5,"4,179"
12,National Museum of Singapore,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore","With a history dating back to its inception in 1887, the National Museum of Singapore is the nation's oldest museum with a progressive mind. Its galleries adopt cutting-edge and multi-perspective ways of presenting history and culture to redefine conventional museum experience. A cultural and architectural landmark in Singapore, the Museum hosts innovative festivals and events all year round-the dynamic Night Festival, visually arresting art installations, as well as amazing performances and film screenings-in addition to presenting thought-provoking exhibitions involving critically important collections of artefacts. The programming is supported by a wide range of facilities and services including F&amp;B, retail and a Resource Centre. The National Museum of Singapore re-opened in December 2006 after a three-year redevelopment, and celebrated its 125th anniversary in 2012. The Museum refreshed its permanent galleries and re-opened them on 19 September 2015 for Singapore's Golden Jubilee.",Speciality Museums,4.5,"2,828"
13,Flower Dome,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore","Step into the Flower Dome and you'll be standing in awe of nature. Spectacular and innovative in design, it is one of the icons of Bay South Garden. The Flower Dome replicates the cool-dry climate of Mediterranean regions like South Africa, California and parts of Spain and Italy. Home to a collection of plants from deserts all over the world, it showcases the adaptations of plants to arid environments. Stop and smell the flowers in the colourful changing displays of the Flower Field, which reflects different seasons, festivals and themes.",Points of Interest &amp; Landmarks • Parks • Gardens,4.5,"6,493"
14,Chinatown,"Crot Trengganu, Singapore 048942 Singapore","For a fascinating peek into Singapore’s Chinese culture and history, Chinatown is good place to start. Here, you’ll enjoy a mix of heritage visits to museums, shopping as well as a good variety of food options, sure to leave a traveller happy and satisfied at the end of the day.",Neighborhoods,4.0,"14,410"
15,MacRitchie Nature Trail,"MacRitchie Reservoir Park, Singapore 298717 Singapore","A short trip from the city center lies the serenity of MacRitchie Reservoir, part of Singapore’s water catchment system that captures rain water to help supply the island’s growing population. Trails surround the park, which has an upgraded visitor’s center featuring a café, restrooms and information station. The best views are from the TreeTop Walk, a 250-meter suspension bridge across the rainforest canopy, which can be accessed along the seven-kilometer Venus Loop. Wear hiking shoes and bring water.",Nature &amp; Wildlife Areas,4.5,"1,843"
16,Buddha Tooth Relic Temple and Museum,"288 South Bridge Road, Singapore 058840 Singapore","The Buddha Tooth Relic Temple and Museum (BTRTM) was founded in 2002 by Venerable Shi Fazhao. It was registered by the Registrar of Societies in 20th February 2003, and as a charity under the Charities Act in 8th January 2004. The Temple is dedicated to the Maitreya Buddha, which means 'The Compassionate One', and also called 'The Future Buddha'. (A)WEEKLY FREE GUIDED TOUR: BTRTM is pleased to offer a 1 1/2 - 2 hrs long guided tour of the Temple every Saturdays at 2pm. The tour will be conducted free-of-charge in English by the temple's Volunteers guides. Limited slots are available per weekly session. Confirmed registration is based on first-come-first-serve basis. (B)DISCOVERING BUDDHISM: Shakyanmuni Buddha had gained insight into the truth, perfected the qualities of wisdom and compassion over 2560 years ago. His teachings develops clarity in minds, enables abilities to end suffering and finds lasting happiness. Buddha Tooth Relic Temple is carrying on the mission in offering ""Discovering Buddhism' programme. 'Discovering Buddhism' is a specially designed programme for participants to gain experiential taste of Chinese Mahayana Buddhist etiquette, Basic Buddhist teachings and Basic Meditation within a day. This English taught programme is suitable for both tourists who wish to learn more about Buddhism and experienced learners who needs a refresher. Participants will benefit from the interactive and engaging teaching led by Venerable Wu Xiang and Venerable Ru Zhi who have more than a decade experience teaching Buddhism and Meditation in different cultural settings! [Chinese Mahayana Buddhist Etiquette] Buddhist etiquette is an important part of every Buddhist life. It expresses religious sentiments to the Buddha, the Teacher (Monk or Nun) and promotes gracefulness in social interactions. This is also a mean of training in mindfulness in every action one is taking. [Basic Buddhist teachings] Buddhism has been transmitted over the past centuries because of its timeless and enduring message to the spiritual needs of man in finding true peace, happiness, and well-being. In this part of the programme, learn about the basic essential knowledge of Buddhism. [Basic Meditation] Buddhist have been practicing meditation in cultivating calm, focused and positive states of mind. Introductory of technique will be taught to enable the participants to learn practical tips on how to achieve a clearer state of mind and focus better. Things to take note : * Avoid wearing hats, shorts or revealing tops * The organizer reserves the right to cancel the tour due to unforeseen circumstances. In such instances, registrants will be notified via their mobile phones.",Speciality Museums • Religious Sites,4.5,"6,427"
17,Marina Bay,"Marina Boulevard, Singapore 018980 Singapore",,Marinas • Bodies of Water,4.5,"13,009"
18,Merlion Park,"1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore","Standing at 8.6 metres high and weighing 70 tonnes, the Merlion statue has a lion’s head and a fish’s body, and is housed here in this 2,500 square metre park.",Monuments &amp; Statues,4.0,"9,548"
19,Orchard Road,,"Spanning almost 2.2 km, Orchard Road is a swanky, tree-lined one-way boulevard flanked by distinctive shopping malls and hotels. The shopping belt comprises nearly 800,000 sq m of shops and restaurants and promises to please any taste or budget with its iconic malls which boast the full works - from opulent brands to high street fashion, and from exclusive restaurants to fast food joints. It is a great street to shop, dine, stay, play, work, and live.",Points of Interest &amp; Landmarks,4.0,"13,500"
20,Clarke Quay,"3 River Valley Road Clarke Quay Nearest Train Station: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019 Singapore",,Shopping Malls,4.5,"3,387"
21,Haji Lane,"21A Haji Lane, Singapore 189214 Singapore",,Neighborhoods,4.0,"1,044"
22,River Wonders,"80 Mandai Lake Road Singapore Zoological Gardens Singapore Zoological Gardens, Singapore 729826 Singapore","Located within Mandai Wildlife Reserve, River Wonders is home to one of the world’s largest collections of freshwater vertebrates, with over 11,000 animal specimens representing close to 260 species as well as 400 plant species. The park highlights the wonders of tropical freshwater ecosystems and the need to protect them. Through immersive wildlife encounters and a relaxing experience, River Wonders hopes to inspire a sense of awe at the variety of freshwater life, restore visitors’ connections to the natural world and empower them to protect freshwater habitats and the wildlife dependent on them. Visitors can learn about iconic river giants like the highly threatened Mekong giant catfish and giant freshwater stingray, giant arapaimas, green anaconda and Antillean manatees. The park is also home to giant pandas.",Zoos,4.0,"3,034"
23,Battlebox,"2 Cox Terrace Fort Canning Park, Singapore 179622 Singapore","A former underground command centre in Fort Canning Hill, the Battlebox was part of the Malaya Command Headquarters during World War II. It was here that Lt-Gen Percival made the fateful decision to surrender Singapore to the Japanese on 15 February 1942. Journey back in time to 1942 and discover the true causes of the Fall of Singapore and learn how an underground command centre functioned during the war.",Military Museums • Historic Sites,5.0,"2,543"
24,Maxwell Food Centre,"1 Kadayanallur Street, Singapore 069184 Singapore",,Flea &amp; Street Markets,4.0,"3,269"
25,OCBC Skyway,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",,Scenic Walking Areas,4.5,573
26,National Gallery Singapore,"1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957 Singapore","Situated in the heart of Singapore’s Civic District, National Gallery Singapore oversees the largest public collection of modern art in Southeast Asia. Housed in two beautifully restored national monuments – City Hall and former Supreme Court – are impeccably curated exhibitions that reveal the region’s cultural legacy and art histories. Come visit the Gallery today and discover Singapore and Southeast Asia’s rich heritage through stunning modern art masterpieces.",Architectural Buildings • Art Museums,4.5,"1,284"
27,Asian Civilisations Museum,"1 Empress Place Empress Place Building, Singapore 179555 Singapore","The Asian Civilisations Museum is devoted to exploring the rich artistic heritage of Asia, especially the ancestral cultures of Singaporeans. Founded in 1993 and in its present building by the Singapore River since 2003, the museum traces its roots to the Raffles Museum, founded in the middle of the 19th century. ACM focuses on the many historical connections between the cultures of Asia, and between Asia and the world. Singapore’s history as a port city that brought people together from all over the world is used as a means of examining the history of Asia. Special exhibitions bring magnificent objects from around the world to our Singapore audience. Programmes like the annual River Nights encourage visitors to connect more closely with culture and the arts.",History Museums,4.5,"2,200"
