,name,business_status,formatted_address,lat,lng,icon,icon_bg_color,icon_mask_base_uri,photo,place_id,compound_code,global_code,rating,reference,ratings_cnt,point_of_interest,cafe,car_wash,movie_theater,spa,pet_store,movie_rental,airport,city_hall,bus_station,florist,department_store,pharmacy,general_contractor,health,local_government_office,finance,transit_station,school,meal_takeaway,furniture_store,physiotherapist,grocery_or_supermarket,bar,shoe_store,food,library,museum,bakery,subway_station,store,home_goods_store,park,restaurant,clothing_store,electronics_store,night_club,supermarket,gas_station,tourist_attraction,travel_agency,stadium,shopping_mall,convenience_store,lodging,meal_delivery,parking,route,jewelry_store,gym,post_office,aquarium,amusement_park,establishment,hair_care,art_gallery,beauty_salon,liquor_store,zoo,book_store
0,First Culinary Restaurant,OPERATIONAL,"2 Ang Mo Kio Drive ITE, College Central, #01-09 Block A - Campus Centre, 567720",1.3765878,103.8563501,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEA9_7Bs1vwDsKA_ooUzB2L02U5zDYsVE2UIVgkZjAS4PgoXchu0SzM6upojI85Au-6LvT3IOHqNw4sWjfoTNxF79AD1tcFcSSGbtZUkJZ3msYjOKm-utEHywmd6qBBs8xqeE3U3qHgOIHAsFOzzperO88sal_ywnAvDD8xUWfJsxB0I,ChIJr2vXDu4W2jERC8RbWLTvCYM,9VG4+JG Singapore,6PH59VG4+JG,3.9,ChIJr2vXDu4W2jERC8RbWLTvCYM,485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Gim Tim Restaurant,OPERATIONAL,"157 Ang Mo Kio Ave 4, #01-546, Singapore 560157",1.3753037,103.8395115,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEAz_qXyk2St8Jc0Za6o5rnau8182qq9Zodm7WJXb-xJkSGEoXqUSxLrlKsy90-eSPQ0XgeXIbFEaRjc7g2c1Tv9pAlBKsB62qQeXD4lV9PmAcMw_Paf2Wh_OAPiwu9fkfaaLtRGQ7YqHtUQ1SfKgBRsjLc8nCJ_ZDgAcgHkN6wY7zY9,ChIJyWk5cMMW2jER2GWLiSidNXs,9RGQ+4R Singapore,6PH59RGQ+4R,3.8,ChIJyWk5cMMW2jER2GWLiSidNXs,371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Jack's Place,OPERATIONAL,"730 Ang Mo Kio Ave 6, #01-4274, Singapore 560730",1.3737652,103.8456175,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEDRK0dJmjxHxIFKqcxhYUAAMpaM5XzMGan-IgBtIhgxsCq-MirBRy4k1GstawZCeRSPyeP9IakMIO3lGm4vk2vVih2umNmLz_SDBO553AWLOeUnPvlFyZwzjJpqBcQXwEJMutuBMuzvLt0t4geTgnDHlRXsBNEVdOErZB3VefxX6liy,ChIJHQDtIegW2jERd_nSiPl5U-g,9RFW+G6 Singapore,6PH59RFW+G6,3.9,ChIJHQDtIegW2jERd_nSiPl5U-g,1017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Fish & Co.,OPERATIONAL,"53 Ang Mo Kio Ave 3, #02 - 02, Singapore 569933",1.3691969,103.8490476,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEBA_IgnZ60hNsBiouV3fkkCZ0G6GR2xS5IU13CKNJ144oC2KPim2sOgVXrdOrfNak0watWDnd5yQQ8zzYDej7Rq4mkqiS8Gnsh49PigAWLeoc29kmTPs96TiA6g4DmCbSiUbGwE1HemOxKDN5adaFfrMQ0zMl6U4rvSgOU84Qt95DA,ChIJb3WaKecW2jERo5Bt7U-J8qY,9R9X+MJ Singapore,6PH59R9X+MJ,4,ChIJb3WaKecW2jERo5Bt7U-J8qY,608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,The Workbench Bistro,OPERATIONAL,"332 Ang Mo Kio Ave 1, #01-1881, Singapore 560332",1.3616989,103.8519471,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEBmOrnzQf-9XgZW25W7HWouVYO675QWw4I6pD4wGZz_oCgJIaeb2HjMLiiWW6rqIH9TGQ_485UJ_NNb-1k1rcVxXSHCXpvit3hrt1FyXFxu7saufllW_a22F-Kz3EJqa7GOApQ6V6VF0KDafv2QYtveADmxEt5g7xy2XIOBmONhhZBe,ChIJTV8Fyx0X2jER_hO-7u1Zs-Y,9V62+MQ Singapore,6PH59V62+MQ,3.8,ChIJTV8Fyx0X2jER_hO-7u1Zs-Y,487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,FuLee Seafood 富俐海鲜,OPERATIONAL,"631 Ang Mo Kio Ave 4, Singapore 560631",1.3795922,103.8407328,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEAyN7eO3zBDl92OXmapUNAHWj9BfqyiMQWXwQyq5OVp9CyBt4TlkFP6bFygLZ_oLUEJdmR1U_fC1qCS6o-j6bVcb9MSC6_VR-ZJoq36psta7gbZ016vAal-V1d7Ke_a_iy6t8eJddetntzWb7qQvs3Tz0cWsEnURbGz7IjyCe2vEbEV,ChIJMeSSV6AX2jERpDVFn7E--Pg,9RHR+R7 Singapore,6PH59RHR+R7,5,ChIJMeSSV6AX2jERpDVFn7E--Pg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Mellben Seafood,OPERATIONAL,"232 Ang Mo Kio Avenue 3, St 22, #01-1222, 560232",1.3686044,103.836948,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEBUPWdp12ny_t2AvI6JueUEiPNelcR2ci_yRUBXriJI6FDCCkeejdNX5ddS0x90eIXTf_yqXBCI5EiZtwVsTXVe1jOZIcOPWduJgcVht7mDTLdZGvVsJsglm0Abi-U1s-Y3QMtANnm5tdre3U-mzsXUmFRmCKOCj4ZOKGAo-tN8MOqI,ChIJgxGXnNsW2jEReh6IGeC_1yI,9R9P+CQ Singapore,6PH59R9P+CQ,4.2,ChIJgxGXnNsW2jEReh6IGeC_1yI,1734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,ToriYard,OPERATIONAL,"Bishan-Ang Mo Kio Park, 1380 Ang Mo Kio Ave 1, 569930",1.3625158,103.8471797,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEDid0QZDvykIWm9TUmLMzBNTWdKkPEA3S0x4R8dRIPqLzYJja-TZTCQBRzmmOqvHtAY0_DEokMCmxSFFnj-2KocuOmX3gIQ1kmtsGKUhG3dNV0uA6uM_zNIRtKud0yrbE7k-uHgaknAMjnToRxONUprANyYVJU5RJb7APMx7mXgPkg6,ChIJEdAdsR8X2jER7Vfu-JC0X7M,9R6W+XV Singapore,6PH59R6W+XV,4.4,ChIJEdAdsR8X2jER7Vfu-JC0X7M,1921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Kam Jia Zhuang Seafood,OPERATIONAL,"202 Ang Mo Kio Ave 3, Singapore 560202",1.3685253,103.8440948,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uECaitY4l7FG8RVFXOGwtqbYcTnFL2dmXCzrvMcCmr4LhrvvQKhhFAAbU4k3Am3aKfwxRKf_gmpMmVt4sbM1Qww9BQwECH1NGNN6HPs45eZkfoQuRkU7GcNUNZHXlIV1xh9wv3rd4QNRs2GqQGSafHr0XMle4Ivwbi2B2MmC5d13pTxT,ChIJwcNOB94W2jERcO_JxkwIz9o,9R9V+CJ Singapore,6PH59R9V+CJ,4.1,ChIJwcNOB94W2jERcO_JxkwIz9o,388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Fish & Chicks,OPERATIONAL,"Blk, 531 Ang Mo Kio Ave 10, #01-2429 Happy Hawkers, 560531",1.3733071,103.8540939,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aap_uEAyjghwY1nkUBvSJAkQJ15DldVpzJBYdQKVYwQk4GLAZ20wjbavziP8DIcpQ4GGvIst-zhH2PloKuG2iqonegO9hY0ThaNDKC2gGeXmDLNIkKTHqKyHdmryuVNaTH4yWwWKf0CoyrPIX16SibUD79QR5bz9VbYqQY5WPWuGp6fbGRE9,ChIJtzqFfeUW2jERnMM7mzrcaAc,9VF3+8J Singapore,6PH59VF3+8J,3.5,ChIJtzqFfeUW2jERnMM7mzrcaAc,677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
