,name,location,lat,lon,formatted_address,about,overallRating,overallRatingCnt,Airport Lounges,Airport Shops,Amusement and Theme Parks,Antique Shops,Aquariums,Architectural Buildings,Arenas and Stadiums,Art Galleries,Art Museums,Auto Racing Tracks,Bars and Clubs,Battlefields,Beaches,Biking Trails,Bodies of Water,Bowling Alleys,Breweries,Bridges,Bus Services,Casinos,Cemeteries,Children's Museums,Churches and Cathedrals,Cigar Bars,Civic Centres,Comedy Clubs,Convention Centers,Cooking Classes,Cultural Events,Dams,Dance Clubs and Discos,Department Stores,Distilleries,Educational sites,Escape Games,Factory Outlets,Farmers Markets,Farms,Ferries,Flea and Street Markets,Food and Drink Festivals,Forests,Fountains,Game and Entertainment Centers,Gardens,Gay Bars,Gear Rentals,Golf Courses,Government Buildings,Health Clubs,Hiking Trails,Historic Sites,Historic Walking Areas,History Museums,Hot Springs and Geysers,Islands,Jazz Bars,Jogging Paths and Tracks,Karaoke Bars,Lessons and Workshops,Libraries,Lighthouses,Lookouts,Marinas,Military Bases and Facilities,Military Museums,Miniature Golf,Missions,Monuments and Statues,Movie Theaters,Mysterious Sites,National Parks,Natural History Museums,Nature and Wildlife Areas,Neighborhoods,Observation Decks and Towers,Observatories and Planetariums,Onsen Resorts,Operas,Other Fun and Games,Other Outdoor Activities,Paint and Pottery Studios,Parks,Piers and Boardwalks,Playgrounds,Points of Interest and Landmarks,Public Transportation Systems,Religious Sites,Scenic Drives,Scenic Walking Areas,Science Museums,Seasonal Fireworks,Shooting Ranges,Shopping Malls,Ski and Snowboard Areas,Spas,Speciality Museums,Speciality and Gift Shops,Sporting Events,Sports Camps and Clinics,Sports Complexes,Symphonies,Taxis and Shuttles,Theaters,Theatre and Performances,Thermal Spas,Trams,Universities and Schools,Visitor Centers,Volcanos,Water Parks,Waterfalls,Wine Bars,Wineries and Vineyards,Yoga and Pilates,Zoos
0,Gardens by the Bay,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore",1.2825914,103.8653547,"18 Marina Gardens Dr, Singapore 018953","An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.",4.5,"59,556",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Singapore Botanic Gardens,"1 Cluny Road, Singapore 259 569 Singapore",1.3078861,103.8184178,"1 Cluny Rd, Singapore 259569","This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.",4.5,"19,829",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Singapore Zoo,"80 Mandai Lake Road, Singapore 729826 Singapore",1.4046073,103.7906329,"80 Mandai Lake Rd, Singapore 729826","Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!",4.5,"22,376",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,National Orchid Garden,"1 Cluny Rd Within the Singapore Botanic Gardens, Singapore 259569 Singapore",1.3138397,103.8159136,"1 Cluny Rd, Singapore Botanic Gardens, Singapore 259569",,4.5,"13,830",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Cloud Forest,"18 Marina Gardens Drive, Singapore 018953 Singapore",1.2825914,103.8653547,"18 Marina Gardens Dr, Singapore 018953",,4.5,"14,935",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sands Skypark Observation Deck,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore",1.2845451,103.8601421,"10 Bayfront Ave, #57, Singapore 018956","Located on the roof of Marina Bay Sands, the Sands SkyPark Observation Deck boasts scenic views of the panoramic vistas of Marina Bay and Singapore’s world-class cityscape.",4.5,"16,867",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Singapore Mass Rapid Transit  (SMRT),,nil,nil,nil,,4.5,"24,074",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Singapore Flyer,"30 Raffles Avenue, Singapore 039803 Singapore",1.2891138,103.8625009,"30 Raffles Ave, Singapore Flyer, Singapore 039803","At 165 metres tall, Singapore Flyer is a masterpiece of urban architecture and engineering that showcases not only the mesmerizing cosmopolitan cityscape of the tropical Lion City, but even the surrounding islands of Indonesia and parts of Malaysia in all their glory. In addition to offering panoramic views of Singapore's cosmopolitan cityscape, guests can also indulge in a flute of champagne, or savour the iconic Singapore Sling whilst hosted in a special themed capsule. Diners seeking both privacy and luxury can opt for a multi-sensory treat unlike any other with our Premium Sky Dining Flight, complete with a four-course dinner and an in-flight host.",4.5,"17,339",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jurong Bird Park,"2 Jurong Hill, Singapore 628925 Singapore",1.32108,103.705209,"2 Jurong Hill, Singapore 628925","Fly in to Asia's largest bird paradise and feast your senses on over 3500 colourful birds across 400 species. Spanning over 20.2 Hectares of naturalistic habitats and giant walk-in aviaries, enjoy close interactions with the feathered residents at daily feeding sessions and be tickled by their show-stopping antics in exciting bird shows. Enjoy sumptuous Asian buffet lunch in the company of talented parrots and get wild and wet at the kids-friendly bird-themed playground.",4.5,"5,219",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Supertree Grove,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",1.2815683,103.8636132,"18 Marina Gardens Dr, Gardens by the Bay, Singapore 018953",,4.5,"5,978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
