,Unnamed: 0,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
0,0,BAM Restaurant,"38 Tras Street #38-40, Singapore 078977 Singapore","38 Tras St, Singapore 078977",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJSSOENm0Z2jERBKC5c68MTWk,nil,1.278406,103.8442916,"Tue12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:00 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:00 PM6:00 PM - 10:30 PM",,45,45,40,45,4.5,226,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,Entre-Nous creperie,"27 Seah Street # 01-01, Singapore 188383 Singapore","27 Seah St, #01-01, Singapore 188383",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJZcsqCqUZ2jERjzIk4OO0wWI,2,1.2962283,103.8545967,"Sun11:00 AM - 4:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 9:30 PM,Sat11:00 AM - 3:00 PM6:00 PM - 9:30 PM",,50,50,45,40,5,"1,555",True,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,The Courtyard,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore","1 Fullerton Square, Singapore 049178",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJbxecDwkZ2jERUf121CWlCNQ,nil,1.2863437,103.8530812,"Sun10:30 AM - 6:00 PM,Mon10:30 AM - 6:00 PM,Tue10:30 AM - 6:00 PM,Wed10:30 AM - 6:00 PM,Thu10:30 AM - 6:00 PM,Fri10:30 AM - 6:00 PM,Sat10:30 AM - 6:00 PM",,40,45,40,45,4.5,"1,450",True,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Portman's Bar,"6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay, Singapore 039594 Singapore","6 Raffles Boulevard Level 4, PARKROYAL COLLECTION Marina Bay, Singapore 039594",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJt7a1YKgZ2jER64EV7GfGtmY,nil,1.291433,103.8576787,"Sun10:30 AM - 12:00 AM,Mon10:30 AM - 12:00 AM,Tue10:30 AM - 12:00 AM,Wed10:30 AM - 12:00 AM,Thu10:30 AM - 12:00 AM,Fri10:30 AM - 12:00 AM,Sat10:30 AM - 12:00 AM",,45,45,45,nil,5,270,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Grand Shanghai Restaurant,"390 Havelock Road King's Centre, Singapore 169662 Singapore","390 Havelock Rd, Level 1 King's Centre, Singapore 169662",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJF9leE50Z2jER4uEdueSxtsM,3,1.2896087,103.8358913,"Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat6:00 PM - 10:00 PM",,40,40,35,40,5,641,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Bar-Roque Grill,"165 Tanjong Pagar Road #01-00 Amara Singapore, Singapore 088539 Singapore","165 Tg Pagar Rd, #01-00, Singapore 088539",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJKZoOX2sZ2jERhJqFXCG1oAw,3,1.275521,103.8436042,"Sun11:00 AM - 3:00 PM5:30 PM - 9:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat6:00 PM - 10:30 PM",nil,45,45,45,45,4.5,733,True,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,HENRI,"48 Pekin Street, Singapore 048778 Singapore","48 Pekin St, #01-01, Singapore 048778",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJr5kAGm0Z2jERTGZ7zgo1KDs,nil,1.2831229,103.8488243,"Sun08:00 AM - 5:00 PM,Mon08:00 AM - 10:00 PM,Tue08:00 AM - 10:00 PM,Wed08:00 AM - 10:00 PM,Thu08:00 AM - 10:00 PM,Fri08:00 AM - 10:00 PM,Sat08:00 AM - 10:00 PM",,nil,nil,nil,nil,4.5,4,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Rosso Vino,"15 Merbau Road Next Robertson Quay Hotel, Singapore 239032 Singapore","15 Merbau Rd, Singapore 239032",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ9ffW4J0Z2jER6WDXWw1aM38,2,1.2910895,103.8419398,"Sun11:30 AM - 12:00 AM,Mon3:00 PM - 12:00 AM,Tue3:00 PM - 12:00 AM,Wed3:00 PM - 12:00 AM,Thu3:00 PM - 12:00 AM,Fri3:00 PM - 12:00 AM,Sat3:00 PM - 12:00 AM",,45,45,40,45,4.5,"1,946",True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8,The Mind Cafe,"60A Prinsep Street, Singapore 188664 Singapore","60A Prinsep St, Singapore 188664",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJ5x94l7wZ2jERxAkDWrexRDk,2,1.2997196,103.8497953,"Sun11:00 AM - 02:00 AM,Mon11:00 AM - 02:00 AM,Tue11:00 AM - 02:00 AM,Wed11:00 AM - 02:00 AM,Thu11:00 AM - 12:00 AM,Fri11:00 AM - 06:00 AM,Sat11:00 AM - 12:00 AM",,35,40,40,nil,5,409,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Paulaner Bräuhaus Singapore,"9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore","9 Raffles Boulevard, #01-01, Millenia Walk, Singapore 039596",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJCUEDxqgZ2jERLoWQ7ycLoQ8,2,1.2930767,103.8582873,"Sun11:00 AM - 12:00 AM,Mon11:00 AM - 12:00 AM,Tue11:00 AM - 12:00 AM,Wed11:00 AM - 12:00 AM,Thu11:00 AM - 01:00 AM,Fri11:00 AM - 01:00 AM,Sat11:00 AM - 12:00 AM",,40,40,35,40,4.5,"1,027",True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
