,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
265,The Auld Alliance,"09 Bras Basah Road Rendezvous Hotel Singapore Hotel RendezVous - #02-02A, Singapore 189559 Singapore","9 Bras Basah Rd, #02-02A Rendezvous Hotel, Singapore 189559",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJN_vyYKQZ2jERPKNnUDZbOFc,3,1.298614,103.849054,"Sun5:00 PM - 12:00 AM,Mon5:00 PM - 01:00 AM,Tue5:00 PM - 01:00 AM,Wed5:00 PM - 01:00 AM,Thu5:00 PM - 01:00 AM,Fri5:00 PM - 02:00 AM,Sat5:00 PM - 02:00 AM",,45,50,45,45,5.0,116,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,COCA Singapore - Leisure Park Kallang,"5 Stadium Walk Leisure Park Kallang #02-01 Leisure Park Kallang, Singapore 397693 Singapore","5 Stadium Walk, #02-01 Leisure Park Kallang, Singapore 397693",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ8RHf2U4Y2jERswaJsHDFvis,2,1.302357,103.876445,"Sun11:15 AM - 10:30 PM,Mon11:15 AM - 10:30 PM,Tue11:15 AM - 10:30 PM,Wed11:15 AM - 10:30 PM,Thu11:15 AM - 10:30 PM,Fri11:15 AM - 10:30 PM,Sat11:15 AM - 10:30 PM",,40,40,35,40,4.0,185,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,Elemen,"10 Paya Lebar Road #03-13 Paya Lebar Quarter, Singapore 409057 Singapore","10 Paya Lebar Rd, #03-13 PLQ Mall, Singapore 409057",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJiXAiEoIZ2jERKdEua8eDjQU,nil,1.3175346,103.8925141,None,nil,45,40,40,40,4.0,99,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,Lobby Lounge at Pan Pacific Orchard,"10 Claymore Road Pan Pacific Orchard, Singapore 229540 Singapore","96 Somerset Rd, Singapore 238163",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,ChIJ3w_cJpEZ2jERA6SulPiZREo,nil,1.3009188,103.8377695,None,,40,45,40,40,4.5,89,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,Spruce,"260 Upper Bukit Timah Road #01-01, Singapore 588190 Singapore","260 Upper Bukit Timah Rd, Singapore 588190",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJjat2ll4Q2jEREiujxi1A1G4,nil,1.3491179,103.7707018,"Sun09:00 AM - 12:00 AM,Mon5:30 PM - 12:00 AM,Tue5:30 PM - 12:00 AM,Wed5:30 PM - 12:00 AM,Thu11:30 AM - 12:00 AM,Fri11:30 AM - 12:00 AM,Sat09:00 AM - 12:00 AM",,40,40,35,40,3.5,303,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,Operation Dagger,"7 Ann Siang Road, Singapore 069689 Singapore","7 Ann Siang Hill, #B1-01, Singapore 069791",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,ChIJTTxJIw0Z2jERACMSdWNqjKs,3,1.2801138,103.8449764,"Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",nil,45,45,40,nil,4.0,102,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,Royale,"122 Middle Road Mercure Singapore Bugis Level 3, Singapore 188973 Singapore","Mercure Singapore Bugis, Level 3, 122 Middle Rd, Singapore 188973",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJA4caIrsZ2jERj4As81xS7IU,nil,1.2995871,103.8529888,"Sun07:30 AM - 9:00 PM,Mon07:30 AM - 9:00 PM,Tue07:30 AM - 9:00 PM,Wed07:30 AM - 9:00 PM,Thu07:30 AM - 9:00 PM,Fri07:30 AM - 9:00 PM,Sat07:30 AM - 9:00 PM",,35,35,35,40,4.0,100,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,5 ON 25,"5 Fraser Street Andaz Singapore Level 25, Singapore 189354 Singapore","5 Fraser St, Singapore 189354",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,ChIJB87pIbAZ2jERwfGaus_7am8,nil,1.2992646,103.8581702,"Sun11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:30 AM - 2:30 PM6:00 PM - 10:00 PM",,nil,nil,nil,nil,5.0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,發起人肉骨茶,"154 Rangoon Rd, ___ 218431, Singapore Singapore","154 Rangoon Rd, Singapore 218431",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ4xfK2MQZ2jERAd_k46BCEvE,2,1.3162606,103.8534135,None,,40,35,35,nil,4.0,60,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,Chocoelf,"232 South Bridge Road, Singapore 058781 Singapore","232 South Bridge Rd, Singapore 058781",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJsaSP2xEZ2jERfqjow9iBgbQ,nil,1.2828341,103.8454618,"Sun10:00 AM - 7:30 PM,Mon10:00 AM - 7:30 PM,Tue10:00 AM - 7:30 PM,Wed10:00 AM - 7:30 PM,Thu10:00 AM - 7:30 PM,Fri10:00 AM - 9:30 PM,Sat10:00 AM - 9:30 PM",nil,nil,nil,nil,nil,5.0,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
